tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::5::가::9),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,9),에너지효율향상 전력 반도체 BCDMOS(Bipolar /Complementary/Double-diffused metal-oxide-semiconductor) 설계ㆍ제조 기술,"실리콘 기반의 저저항ㆍ고효율 특성을 지니며 차세대 응용 분야(5G, 전기차, 하이브리드자동차, 태양광, 풍력발전 등 신재생에너지, 스마트그리드 등)에 탑재되는 아날로그, 디지털 로직, 파워소자를 원칩화한 초소형ㆍ초절전 전력반도체 0.13ɥm 이하 BCDMOS 설계ㆍ제조 기술"
newgrowth::5::나::2),newgrowth,차세대전자정보 디바이스,나. 반도체 등 소재,2),"원자층증착법(ALD, Atomic Layer Deposition) 및 화학증착법(CVD, Chemical Vapor Deposition)을 위한 고유전체(High-k dielectric)용 전구체 개발 기술",기존의 이산화규소(SiO2)보다 우수한 유전특성을 갖는 high-k dielectric 박막 증착을 위한 ALD 및 CVD 공정에 사용되는 전구체를 개발하는 기술
newgrowth::5::나::1),newgrowth,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,1),포토레지스트(Photoresist) 개발 및 제조기술,"반도체 및 디스플레이용 회로형성에 필요한 리소그래피(lithography)용 수지로서 회로의 내열성, 전기적 특성, 현상(Developing) 특성을 좌우하는 Photoresist 및 관련 소재를 개발 및 제조하는 기술 [ArF(불화아르곤) 광원용 및 EUV(극자외선) 광원용]"
newgrowth::5::나::10),newgrowth,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,10),코트막형성재 개발 및 제조 기술,완성된 반도체 소자의 표면을 외부환경으로부터 보호하기 위해 사용하는 절연성을 가진 고감도(80mJ/㎠ 이하) 감광성 코팅 기술 또는 패키징 재배선(배선폭 7㎛ 이하) 형성 재료 제조 기술
newgrowth::5::나::3),newgrowth,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,3),고순도 불화수소 개발 및 제조기술,반도체 회로형성에 필요한 순도 99.999%(5N) 이상의 고순도 불화수소를 개발 및 제조하는 기술
newgrowth::5::나::4),newgrowth,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,4),블랭크 마스크(Blank Mask) 개발 및 제조기술,"ArF(불화아르곤) 광원 및 EUV(극자외선) 광원을 이용하여 반도체 회로를 형성하는 데 사용되는 블랭크마스크 원판 및 관련 소재[펠리클(Pellicle), 합성 쿼츠, 스터러링용 타겟 등을 포함]을 개발 및 제조하는 기술"
newgrowth::5::나::5),newgrowth,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,5),반도체용 기판 개발 및 제조기술,14nm 이하급 D램과 170단 이상 낸드플래시메모리 및 에피텍셜 반도체용 기판을 개발 및 제조하는 기술
newgrowth::5::나::6),newgrowth,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,6),첨단 메모리반도체 장비 및 장비부품의 설계ㆍ제조 기술,14nm 이하급 D램(DRAM)과 170단 이상 낸드 플래시메모리(Nand Flash Memory) 양산을 위한 장비ㆍ장비부품의 설계ㆍ제조 기술
newgrowth::5::나::7),newgrowth,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,7),"플렉서블 디스플레이 패널, 차세대 차량용 디스플레이 패널용 DDI 칩(Display Driver IC) 설계 및 제조 기술",화면에 문자나 영상 이미지 등이 표시되도록 디스플레이 패널에 구동 신호 및 데이터를 전기신호로 제공하는 반도체를 설계 및 제조하는 기술
newgrowth::5::나::8),newgrowth,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,8),고기능성 인산 제조 기술,"SiNx, SiOx 막질의 선택적인 식각이 가능한 고선택비(1,000이상) 인산계 식각액 제조기술"
newgrowth::5::나::9),newgrowth,차세대전자정보 디바이스,나. 반도체 등 소재ㆍ부품,9),고순도 석영(쿼츠) 도가니 제조 기술,반도체 웨이퍼 제조용 용융 실리콘의 오염을 막기 위한 도가니 형태의 순도 99.999%(5N) 이상의 고순도 석영 용기 제조 기술
newgrowth::5::다::2),newgrowth,차세대전자정보 디바이스,"다. OLED (Organic Light  Emitting Diode, 유기발광 다이오드)",2),대기압 플라즈마 식각 장비 기술,디스플레이를 제조할 목적으로 대기압에서 플라즈마(plasma)를 발생시켜 박막을 식각하는 장비 제작기술
newgrowth::5::다::1),newgrowth,차세대전자정보 디바이스,다. 유기발광 다이오드(OLED: Organic Light Emitting Diode) 등 고기능 디스플레이,1),9인치 이상 능동형 유기발광 다이오드(AMOLED: Active Matrix Organic Light Emitting Diode) 패널 기능개선 및 부품ㆍ소재ㆍ장비 제조 기술,"저온폴리실리콘(LTPS, Low Temperature Poly Silicon) 또는 산화물(Oxide) TFT(Thin Film Transistor, 전자이동도 8㎠/Vs 이상) 기판 상에 진공 증발 증착 또는 프린팅 방식으로 고화질(고해상도, 고색재현, 고균일, HRD)을 구현한 대화면(9인치 이상) AMOLED 패널을 제조하기 위해 공정별로 사용되는 기술(모듈조립공정기술은 제외한다)과 AMOLED 패널을 제조하기 위한 부품ㆍ소재ㆍ장비 제조 기술"
newgrowth::5::다::3),newgrowth,차세대전자정보 디바이스,다. 유기발광 다이오드(OLED: Organic Light Emitting Diode) 등 고기능 디스플레이,3),플렉서블 디스플레이 패널ㆍ부품ㆍ소재ㆍ장비 제조 기술,"플렉서블 디스플레이(유연성 또는 유연한 성질을 가지는 디스플레이로, 깨지지 않고 휘거나 말 수 있고 접을 수 있는 특성을 지닌 것을 말한다. 이하 같다)를 제조하기 위해 공정별[유연필름 제조, 이형과 접합, TFT(Thin Film Transistor) 제조, 화소형성, 봉지, 모듈 공정 등]로 사용되는 기술과 이와 관련한 부품ㆍ소재 및 장비 제조 기술"
newgrowth::5::다::4),newgrowth,차세대전자정보 디바이스,다. 유기발광 다이오드(OLED: Organic Light Emitting Diode) 등 고기능 디스플레이,4),차세대 차량용 디스플레이 패널ㆍ부품ㆍ소재ㆍ장비 제조 기술,"굴곡된 형상으로 제조 가능하고, 동작온도 -30℃∼95℃, 시인성 black uniformity 60% 이상을 만족하는 다결정 저온 폴리실리콘(LTPS-LCD) 패널 제조기술(모듈조립공정기술은 제외한다)과 이와 관련한 부품ㆍ소재 및 장비 제조 기술"
newgrowth::5::다::5),newgrowth,차세대전자정보 디바이스,다. 유기발광 다이오드(OLED: Organic Light Emitting Diode) 등 고기능 디스플레이,5),마이크로 LED 디스플레이 패널ㆍ부품ㆍ소재ㆍ장비 제조 기술,실리콘(Silicon) 또는 사파이어(Sapphire) 기판에 저결함 에피공정을 적용하여 100㎛ 이하의 자발광 R/G/B 마이크로 LED 칩을 제조하는 기술과 이를 이용한 픽셀ㆍ패널 제조 기술 및 이와 관련한 부품ㆍ소재 및 장비 제조 기술
newgrowth::5::다::6),newgrowth,차세대전자정보 디바이스,다. 유기발광 다이오드(OLED: Organic Light Emitting Diode) 등 고기능 디스플레이,6),VRㆍARㆍMR용 디스플레이 패널ㆍ부품ㆍ소재ㆍ장비 제조 기술,"가상현실, 증강현실, 혼합현실 기기에 사용되는 초고해상도(1,500 ppi이상) 디스플레이를 제조하기 위해 공정별로 사용되는 기술과 이와 관련한 부품ㆍ소재 및 장비 제조기술"
newgrowth::5::다::7),newgrowth,차세대전자정보 디바이스,다. 유기발광 다이오드(OLED: Organic Light Emitting Diode) 등 고기능 디스플레이,7),친환경 QD(Quantum Dot) 나노 소재 적용 디스플레이 패널ㆍ부품ㆍ소재ㆍ장비 제조 기술,적은 소비전력으로 고색재현 및 화학적ㆍ열적 안정성 개선이 가능한 QD 나노 소재 적용 디스플레이를 제조하기 위해 공정별로 사용되는 기술과 이와 관련한 부품ㆍ소재 및 장비 제조 기술
newgrowth::5::라::,newgrowth,차세대전자정보 디바이스,라. 3D프린팅,,3D프린팅 소재ㆍ장비 개발 및 제조기술,"3차원 디지털 설계도에 따라 액체수지, 금속분말 등 다양한 형태의 재료를 적층하여 제품을 생산하는 데 사용되는 소재ㆍ장비를 개발 및 제조하는 기술"
newgrowth::5::마::,newgrowth,차세대전자정보 디바이스,마. AR 디바이스,,AR 디바이스 제조기술,실제의 이미지나 배경에 유의미한 상황 정보를 기반으로 한 영상ㆍ텍스트ㆍ소리 등의 가상정보를 나타내어 사용자의 경험이 증강되고 현실세계와 동기화할 수 있는 장비 및 관련 부품의 개발 및 제조기술
