tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::2::다::3),newgrowth,지능정보,다. 클라우드(Cloud),3),IaaS(Infrastructure as a Service) 기술,"가상머신(Virtual Machine) 혹은 컨테이너(container, 경량화된 가상화기술) 기반으로 자원을 가상화하고, 다중 클라우드 연동을 통해 자원을 확장하는 기술 및 다양한 클라우드 인프라 서비스의 중개를 위한 클라우드 서비스 브로커리지(Cloud Service Brokerage) 기술"
newgrowth::2::라::1),newgrowth,지능정보,라. 빅데이터(Big Data),1),빅데이터 수집ㆍ정제ㆍ저장 및 처리기술,"여러 입력 소스(source)에서 발생하는 다양한 종류의 대규모 데이터(data)를 수집ㆍ정제하거나, 향후 분석을 위해 고속의 저장소에 저장하고 관리하는 기술"
newgrowth::2::라::2),newgrowth,지능정보,라. 빅데이터(Big Data),2),빅데이터 분석 및 예측 기술,"대규모 데이터(data)에 다양한 통계기법, 기계학습, 시뮬레이션(simulation) 기법 등을 활용하여 분석하고, 데이터에 내재한 의미를 추출하고 장단기 미래 동향을 예측하는 소프트웨어 기술"
newgrowth::2::라::3),newgrowth,지능정보,라. 빅데이터(Big Data),3),데이터 비식별화 기술,개인의 사생활을 침해하지 않으면서 인공지능 학습 등에 활용할 수 있도록 대량의 비정형데이터(이미지ㆍ영상 등) 및 개인정보 데이터를 비식별화하는 기술
newgrowth::2::마::2),newgrowth,지능정보,마. 착용형 스마트기기,2),유연한 양ㆍ음극 소재 및 전극 설계ㆍ제조기술,20퍼센트 이상의 변형 시에도 기계적ㆍ전기화학적 신뢰성 확보가 가능하며 100㎛ 후박급의 착용형기기(wearable device)에 전원용으로 사용되는 유연한(flexible) 양ㆍ음극 소재 설계ㆍ제조 기술 및 해당 전극의 조성(composition)ㆍ형상(forming)의 설계ㆍ제조 기술
newgrowth::2::마::3),newgrowth,지능정보,마. 착용형 스마트기기,3),섬유기반 유연전원(fabric based flexible battery) 제조 기술,"유연 성능이 4.5gㆍ㎠/㎝ 이상으로 변형에 대한 형태 안정성이 우수한 유연전원(fabric based flexible battery)으로서, 에너지 밀도가 100Wh/kg 이상으로 고효율ㆍ고수명의 성능을 가진 섬유기반 유연전원을 제조하는 기술"
newgrowth::2::마::4),newgrowth,지능정보,마. 착용형 스마트기기,4),전투기능 통합형 작전용 첨단디지털 의류기술,군사 및 경찰 작전 등의 특수 임무를 수행하는 데 필요한 극한기능과 신호전송기능 및 신체보호기능을 갖춘 총체적 디지털 기능 전투복 제조 기술
newgrowth::2::마::5),newgrowth,지능정보,마. 착용형 스마트기기,5),생체정보 처리 및 인체내장형 컴퓨팅 기술,"생체신호 측정 및 전달 기술, 생체기능의 컴퓨터 시뮬레이션(모사) 기술, 내장형 심장 박동 기술, 인슐린 자동 분비 기술, 인공 눈/귀 등과 같이 신체의 내ㆍ외부에 장착되어 사용자의 생체정보 또는 기능을 인식ㆍ모사ㆍ처리하거나 신체의 기능을 보완ㆍ대체하는 기술"
newgrowth::2::마::1),newgrowth,지능정보,마. 착용형스마트기기,1),신체 부착형 전자회로의 유연기판 제작기술 및 유연회로 인쇄기술,스마트 착용형기기(wearable device)에 사용되는 신체 부착형 전자회로의 유연기판 제작기술 및 유연회로 인쇄기술
newgrowth::2::바::1),newgrowth,지능정보,바. IT 융합,1),지능형 전자항해 기술,"IMO(International Maritime Organization, 국제해사기구)의 e-Navigation 구현을 목적으로 장소에 구애받지 않고 4S(ship to ship, ship to shore, shore to ship, shore to shore) 통신을 구현하는 통신단말장치 제작기술과 그 통신단말장치를 기반으로 육상과의 실시간 디지털통신을 통해 입항부터 출항까지의 항해 업무를 통합적으로 처리하고 증강현실 및 3차원 전자해도를 활용한 충돌ㆍ좌초 회피지원기능을 갖는 선박항해시스템 설계 및 구축기술"
newgrowth::2::바::2),newgrowth,지능정보,바. IT 융합,2),지능형 실시간 도시 시설물 관리시스템 기술,"도시 시설물(도로, 철도, 교량, 항만, 댐, 터널, 건축물, 전기ㆍ가스ㆍ수도 등의 공급설비, 통신시설 및 하수도시설 등)에 부착 또는 삽입하여 동 시설물들을 대상으로 통신기능 및 에너지 수확기능을 갖는 센서(sensor)를 활용하여 시설물의 운영상황 및 위험요인(물리적ㆍ기능적 결함여부 포함)을 실시간으로 계측ㆍ평가하여 유지ㆍ보수하는 지능형 도시 시설물 관리시스템 설계ㆍ구축 기술"
newgrowth::2::바::3),newgrowth,지능정보,바. IT 융합,3),지능형 기계 및 자율협업 기술,"생산설비에 붙박이 형태(built-in)로 장착한 다양한 센서(sensor)나 엔코더(Encoder)로부터 수집한 생산설비의 품질(상태)정보 및 공정조건을 실시간으로 분석하여 최적의 작업상태를 제공할 수 있는 진단ㆍ처방정보를 창출하는 내장형ㆍ외장형 소프트웨어 제작기술과, 동 정보를 바탕으로 생산설비를 원격으로 제어하는 개방형 제어기(controller), M2M(Machine to Machine, Machine to Man, 기계 간의 통신 및 인간이 작동하는 기계와의 통신) 디바이스(device) 제작기술 및 내장형ㆍ외장형 소프트웨어와 개방형 컨트롤러 디바이스를 탑재하여 자동으로 상태감시ㆍ진단ㆍ제어기능을 하는 지능형 기계 제작기술"
newgrowth::2::사::,newgrowth,지능정보,사. 블록체인,,블록체인 기술,"모든 구성원이 분산형 네트워크(P2P Network)를 통해 정보 및 가치를 검증ㆍ저장ㆍ실행함으로써 특정인의 임의적인 조작이 어렵도록 설계된 분산 신뢰 인프라를 구현하기 위한 P2P 네트워킹기술, 합의기술, 스마트계약 검증기술, 분산저장기술, 플랫폼기술(확장성ㆍ성능 개선 등), 보안기술, IoT 기술, 적합성검증 기술"
newgrowth::2::아::,newgrowth,지능정보,아. 양자컴퓨터,,양자컴퓨터 제작 및 활용 기술,"양자 정보를 처리할 수 있는 메모리(큐비트, Qubit)를 구현하고, 큐비트간 연산처리가 가능한 장치의 제작 기술 및 양자컴퓨터의 구동ㆍ원격사용과 양자컴퓨터를 이용한 계산 등 양자컴퓨터를 활용하기 위한 기술"
newgrowth::2::자::,newgrowth,지능정보,자. 스마트 물류,,지능형 콜드체인 모니터링 기술,"화물의 운송 과정에서 온도, 습도, 충격 등의 상태 데이터를 정보수집 장치를 통해 수집 및 저장하고, 이를 국제표준 ISO 27017에 따라 보안성이 검증된 클라우드 서버로 전송하여 단위 화물 정보와 연동하고 이를 소프트웨어상에서 모니터링하는 기술"
